id_EXIST,lang,tweet,number_annotators,gender_annotators,age_annotators,labels_task1,encoded_annotations
100013,es,perdi charada sicotica gamer gate bueno gracias blush perdere,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100014,es,momento izquierda mas politizada caracter absolutizador mejor organizada tenia monopolio control redeslower_left_ballpoint_pen alejandro cuevas,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100015,es,digo dogwhistles? vivido vez comics paso comics gate 2017 hijo bastardo gamer gate origen oscuro ninos ratas berrinchudos pues chole no?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100016,es,toque experimentar similar gamergate veremos si mantienes misma postura hoy juas juas juas,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100017,es,levanto miedo exito rata nro 1 rust //tco/ezxnddepqerust gamer girls gamer gate,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100018,es,gamergate causo gamergate causo gamergate mato persona gamergate gamergate gamergate putoooos reporteros mieerdaaa,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100019,es,2014 empezo gamergate asi igual mejor,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100020,es,mejores 100 videojuegos historia grinninggrinninggrinninggrinning gamers gamer gate,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100021,es,the gays despues escuchar babylon house labs they harassed gaga pa saque,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100022,es,refieres asi?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100023,es,lol meti lio comunidad cosplay alguien vio contexto story defendiendo pana who being harassed diciendo bully copio cosplays fb ridiculizarme cosplays pueden copiar,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100024,es,hembras colibri cuello blanco florisuga mellivora adoptan coloracion similar plumaje machos evitar machos mas agresivos forma escapan intentos seduccion mas tiempo alimentarse,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100027,es,yall really harassed this person tan inofensivo lmao verdad empatia,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100028,es,quiet sexist %,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100029,es,fuentes backhand_index_pointing_down_light_skin_toneman_technologist_medium_skin_tone fin hiloconoce mas derecho creer,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100031,es,this artist is only 20 that is so young to be harassed like this dan verguenza hablar tan mal alguien tan joven? regardless of what the original convo was about anti negritud mestizos blancos diaspora latinoamerica asqueroso,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100032,es,ay olvidaban pruebas aquello hablar invenciones,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100033,es,she harassed the senator asi vayanse mamar,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100034,es,eeuu documentos desclasificados revelan misteriosos drones -en julio 2019- acosaron buques guerra yanquis costas california foia mysterious drones harassed us navy warships off california,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100035,es,devastador critica constructiva chris cuomo sexually harassed i hope hell use his power to make change,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100036,es,loca d mierda k momento,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100037,es,chico sandman d escuela catolica viajo washington grupo companeros harassed atacados x black israelitessecta nativo americano cnn etc dijeron fie reves causando expulsiones amenazas muerte etc aprox 100 millones gano,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100038,es,encima siempre misma pobre tisi shes being harassed,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100040,es,pretendieron defender libertad expresion academicos quejandose alguna manera gente trans silenciando skullskullskullskull,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100041,es,scales piden mas tres anos carcel vecino torrevieja acusado colgar dni victima manada foro lama,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100042,es,pues mira hombres cada familia amistades haciendo vida normal igual lamanada asesinan diario parejas deberiamos preguntarnos cono pasando hombres q actuen asi clase sociedad queremos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'NO', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100044,es,lama agresion sexual navarra dni espanol? habia agente expulsado delitos guardia civil catedro ejemplo derecha-caverna ser espanol sindrome marujita diaz,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100046,es,viernes 22 do sl intern as j auria lama teatro entrevista completa,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100047,es,caso lama heredia abogada victima telephone_receiver mal llamado asi violacion grupal animales raciocinio expresa va juicio oral agarre caso luego personas quedaron proceso tras aquel episodio desahogo sexual cuenta,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'NO', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100048,es,alejandro saavedra violador parte lama scz finalmente sentenciado 20 anos seva caer,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100049,es,politicos acostumbran hablarle pueblo si manada estupidos lamanada hacemos contradecirlos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100050,es,comparto columnas anteriores reflexionan tema viola cin grupal reacciones sociedad 2018 caso lama reflexiones bano santa teresa,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100051,es,confirman madre violador lama eliane saavedra daza recibia plata gobierno municipal gestion ex alcaldesa trabajar 2000 items fantasma sunmil contratos fantasma s,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100052,es,quin descontrol lamanada parar violencia,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100053,es,manada panda_facelion_facefox_facemis bebes white_heartlama dogs of insta gram do glover siberian husky shetland sheepdog husky sheltie husky siberia pastor shetland metepec,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100054,es,ame lama dejo pensar novela,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100055,es,leones metiendo cojones cono 7-3 firefirefirelion_facelion_facelion_face lama,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100056,es,starsiiii increible pipe crack adoramossss lama wolfblue_heartstar,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100058,es,mientras scooby disfruta unas vacaciones lamanada cuido casa merlot russian bleu hija,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100059,es,victima 'lama nada' si 'el prenda' arrepintiera verdad pedido perdon tambien,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100060,es,lopetegui rueda prensa diciendo minifalda tal lama no?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100061,es,si too cine espanol seria homosubvenciones felamamandurrias,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100062,es,tema ambiente too ejemplo interesante dices,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100063,es,come on label metoo sunglassespopcorn,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100064,es,crece preocupacion paradero peng shuai crece preocupacion paradero peng shuai,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100065,es,siempre pensado escena segunda pelicula librado movimiento too ahora haber cancelan,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100066,es,creo 4t va pasar historia gobierno mas premiaba condecoraba agraviantes sexuales verguenza ahi salgado macedonio ahora pedro salmeron dudo mas cursing_faceme too,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100067,es,tribunal chino desestima primer caso too amenaza acabar incipiente movimiento pais via,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'NO', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100068,es,veo surge respuesta tipo not all americans lucha afluencia estadounidenses pr not all men metoo ambos casos replica obvia trata estructuras dinamicas crean desigualdad si individuos portan bien mal,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100070,es,dicen denuncia real cariola dijo feminista metoo creia victima asi tarados weones cagar dan material kast asunto grave,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100071,es,p orsino viste spect culos co so too purple_circlela top model britanica emily ratajkowski denuncio acosada sexualmente cantante robin thicke rodaje videoclip blurred linesdiario mexico,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100072,es,asunto can essa puede ser inicio movimiento too ecuador denunciar acoso sexual nivel ejemplo entiendo normaliza pais matrimonios profesores alumnas educacion secundaria hace decadas casos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100074,es,hey carcel digo mal bien hdlv sigue libre haciendo aun putos retiros abusa mujeres too,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100075,es,quiza annette narracion supuestamente orbita too realidad margen virtudes cinematograficas mas frivolohay ver annette duda luego leer,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100076,es,too mundo literario acosadores pesadilla escritorastestimonios cuatro autoras viven infiernos causa hombres persiguenpor,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100077,es,tan necesario too mundo academico amenazas muerte 3 manana intentaron echarme universidad vieron podian hijos escuelaswomen in stem,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100079,es,va caer vamos tirar abrazos sola too,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100081,es,incel persona expresa incapacidad conseguir relaciones sexuales pesar ser deseo caracterizados resentimiento publicaciones mgtow supone grupo sigue idea separatismo hombre mujer,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'NO', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100082,es,hacian verdadero caos fotografiados detenidos lamentable mismo pueden volver,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100083,es,literalmente toda discografia aitana dices existe,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100084,es,creo infierno/paraiso murio impune cobardia argentina,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100086,es,peor veganos rechazan productos animales moral hacer dano seres consideran proteger mgtow rechazan mujeres resentimiento odio paranoia,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'YES', 'NO', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100087,es,llama nicho mercado,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100088,es,mgtow puteros manual franquistacortados mismo patron,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'NO', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100089,es,paso mujer? confundida pagaron sobre?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100090,es,llama criterio dejas pensamiento binario empiezas ver matices,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100091,es,milei tambien puede llegar consumir tincho redpill seria tanque leche contrario va bien cambio moreno parece mas publico mgtow,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100092,es,diria mas tocar puntos sensibles ciertos problema comunidad varios individuos hacen ver mal mgtow aunque tambien culpa ignorantes tema piensan cualquiera cuenta recien creada diciendo mgtow,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100093,es,vieja qlia sabe 1 we,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'NO', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100094,es,d pseudo transgresores complices inanicion ideologias mierda prefieren ser showmans status quo laje milei respuesta argentina paul joseph watson ben shapiro milo yiannopoulos basicamente mgtow3/4,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100096,es,mgtow asi sera anos encontrado alternativa,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100097,es,unico compadeceria verme llorar papa ninguna persona ningun sexo haria,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100098,es,an contado gueveta sepulveda prepotenteleantaoraja,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'NO', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100100,es,gente mgtow discutiendo mas mgtow pura sangreluego dice sandman manifiesto 30 aporta nota conoce mentalidad picaresca hispanica,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100101,es,digo its just plain rude puede interpretar microagresion da aires crees superior nunca hago estopor menos mami papi criaron modales ensenaron respetar personas,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100102,es,creo pasivoagresivo manipuladorgente hace sentir culpable cualquier vaina aplicarles luego chantaje emocionalun fren vez dijo asumir mal desempleado microagresionno oporto,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100103,es,lei momento paso devolvere microagresion joy,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'NO', 'NO', 'NO']","tensor([1., 0., 0., 1.])"
100104,es,nunca vi tanta gringa celebrando paises pobres nunca quedemos vez pueden decir quieran si aires microagresion odio,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'NO', 'YES', 'YES']","tensor([1., 0., 0., 1.])"
100105,es,mas aun casi siempre va acompanado agresion fisica asi hablan microagresion cualquier caballa,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
100106,es,noble salvaje italiano garcha 300 paginas miedo cometer microagresionme encanto describe triste panorama actual edicion literaria aunque suscriba eeuu cambiaremos mundo menos cambiamos tema pedia joyce,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']","tensor([1., 0., 0., 1.])"
100107,es,conseguiste lalu portada paso gustarme much gustarme visto lado messipues si digo identifico mil veces mas fotos punto si microagresion,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'YES', 'NO']","tensor([1., 0., 0., 1.])"
