id_EXIST,lang,tweet,number_annotators,gender_annotators,age_annotators,labels_task1
100038,es, encima siempre a la misma pobre tisi shes being harassed,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'NO']"
100039,es, esa era de twilight fue muy rara todos los actores were getting harassed pero con taylor es especialmente wild porque he was a minor,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'YES', 'YES', 'NO']"
100040,es,cuando pretendieron defender la libertad de expresion de academicos quejandose de que de alguna manera la gente trans los estaba silenciando skullskullskullskull,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'NO', 'YES']"
100041,es,balance_scale piden mas de tres anos de carcel para el vecino de torrevieja acusado de colgar el dni de la victima de la manada en un foro lama nada ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']"
100042,es,   pues mira no son hombres cada uno con su familia amistades y haciendo vida normal igual que los de lamanada y los que asesinan a diario a sus parejas por eso deberiamos preguntarnos que cono esta pasando con los hombres para q actuen asi y que clase de sociedad queremos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'NO', 'YES', 'YES']"
100043,es,algo asi hizo lama nada a algunas chicas hasta que acabaron entre rejasmentiras estreno,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'YES', 'YES']"
100044,es, lama nada agresion sexual en navarra  tienen dni muy espanol?  habia hasta un agente expulsado por sus delitos de guardia civil  el catedro  es el ejemplo de la derecha-caverna nosotros ser espanol sindrome marujita diaz,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'YES', 'YES']"
100045,es,sentencia minima para la manada pero bienvenida sea y que sancion para el dr paul munoz cuya defensa fue que a la chica le gusta la vida social? por que tras mas de un ano no se pronuncia el colegio de abogados de lima?  a mime gusta la vida social lama nada ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'NO', 'YES', 'YES']"
100046,es,este viernes 22  do sl intern as j auria lama nada  teatro entrevista completa a  ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100047,es,caso lama nada heredia es la abogada de la victima telephone_receiver mal llamado asi fue una violacion grupal y no por animales sin raciocinio expresa va a juicio oral agarre el caso luego de que personas quedaron fuera del proceso tras aquel episodio del desahogo sexual cuenta ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'NO', 'YES', 'YES']"
100048,es,alejandro saavedra violador parte de lama nada en scz finalmente sentenciado a 20 anos seva a caer,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'NO', 'YES']"
100049,es,  los politicos acostumbran a hablarle al pueblo como si fueran una manada de estupidos pero lamanada no hacemos nada por contradecirlos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100050,es,comparto algunas columnas anteriores que reflexionan sobre el tema de la viola cin grupal y las reacciones de la sociedad y todo esto esta de 2018 sobre el caso de lama nada con reflexiones sobre el bano de santa teresa  ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
100051,es,confirman que la madre del violador de lama nada eliane saavedra daza recibia plata del gobierno municipal de gestion de la ex alcaldesa  sin trabajar 2000 items fantasma sunmil contratos fantasma s ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'NO', 'NO', 'NO']"
100052,es, quin descontrol desde lo de lamanada es un no parar de violencia,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
100053,es,la manada pandalionfoxmis bebes white_heartlama nada dogs of insta gram do glover siberian husky shetland sheepdog husky sheltie husky siberia no pastor de shetland en metepec ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100054,es, por eso ame lama nada de  no dejo de pensar en esa novela,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100055,es,mis leones metiendo cojones cono  7-3  firefirefirelionlionlion lama nada,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'YES', 'NO']"
100056,es, starsiiii estuvo increible mi pipe eres un crack te adoramossss lama nada wolfblue_heartstar,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'NO', 'NO', 'NO']"
100057,es, y quien investiga la jefa de lamanada? la senora delgado ? yo meparto,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'YES', 'NO']"
100058,es,mientras scooby disfruta unas vacaciones en lamanada yo cuido en casa a merlot el russian bleu de mi hija  ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100059,es,la otra victima de 'lama nada' si 'el prenda' se arrepintiera de verdad me hubiera pedido perdon a mi tambien ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'YES', 'NO']"
100060,es,lo de lopetegui en rueda de prensa diciendo no se que de la minifalda y tal era por los de lama nada no?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'NO', 'YES']"
100061,es,  si hubiese un me too del cine espanol seria por homosubvenciones y felamamandurrias,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'YES', 'NO']"
100062,es, hay otro tema en el ambiente pero el me too es un ejemplo interesante de lo que dices,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']"
100063,es,come on  label metoo smiling_face_with_sunglassespopcorn ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'NO', 'NO']"
100064,es,crece la preocupacion por el paradero de peng shuai crece la preocupacion por el paradero de peng shuai ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100065,es, siempre he pensado que esa escena la de la segunda pelicula se a librado del movimiento me too hasta ahora haber cuando la cancelan,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'NO', 'YES']"
100066,es,creo que la 4t va a pasar a la historia como el gobierno que mas premiaba y condecoraba a los agraviantes sexuales que verguenza ahi esta el salgado macedonio y ahora pedro salmeron y no dudo que haya mas face_with_symbols_on_mouthme too,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'NO', 'YES']"
100067,es,un tribunal chino desestima el primer caso de me too y amenaza con acabar con este incipiente movimiento en el pais  via  por ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'NO', 'YES', 'NO']"
100068,es,veo que surge una respuesta tipo not all americans a la lucha contra la afluencia de estadounidenses a pr como el not all men a metoo en ambos casos la replica obvia que se trata de estructuras y dinamicas que crean desigualdad no de si individuos se portan bien o mal,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'YES', 'YES', 'YES']"
100069,es, si  estoy a favor hay que crear movimiento metoo,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'YES', 'NO']"
100070,es,  dicen que la denuncia es real la cariola dijo que ella era feminista y del metoo y le creia a la victima asi de tarados weones a cagar le dan material a kast con un asunto muy grave,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'NO', 'YES']"
100071,es,p orsino lo viste e spect a culos a co so me too purple_circlela top model britanica emily ratajkowski denuncio que fue acosada sexualmente por el cantante robin thicke durante el rodaje del videoclip de blurred linesdiario de mexico ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']"
100072,es,el asunto can essa puede ser el inicio de un movimiento me too  en ecuador para denunciar el acoso sexual en todo nivel por ejemplo no entiendo como se normaliza en nuestro pais los matrimonios  entre profesores y alumnas de educacion secundaria desde hace decadas hay casos,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'YES', 'YES']"
100073,es,si ridley scott pretendio hacer una nueva version de rashomon no logro la expresion artistica necesaria para plasmar la idea lo unico que alcanzo es llevar el me too a la edad mediathe last duel,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'NO', 'NO', 'YES']"
100074,es,hey como es que  este en la carcel no digo que este mal o bien pero como es que el hdlv de   sigue libre y haciendo aun sus putos retiros donde abusa de mujeres me too,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'YES', 'YES', 'YES']"
100075,es,quiza annette narracion supuestamente en la orbita del me too sea en realidad y al margen de sus virtudes cinematograficas algo mas frivolohay que ver annette sin duda y luego leer a  ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
100076,es,el me too y el mundo literario  acosadores la pesadilla de las escritorastestimonios de cuatro autoras que viven infiernos a causa de los hombres que las persiguenpor  ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']"
100077,es,el tan necesario me too en el mundo academico amenazas de muerte a las 3 de la manana intentaron echarme de la universidad  y cuando vieron que no podian con nosotros fueron a por nuestros hijos en las escuelaswomen in stem ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'NO', 'YES', 'YES', 'NO']"
100078,es,parece que el caso del gay atacado por 8 encapuchados ha resultado ser una falsa denuncia pero da igual hoy en dia no importa la verdad la justicia y tratar a las personas por sus actos sino que todo encaje en tu discurso woke blm me too lgtbifobia viogen,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'YES', 'NO', 'YES']"
100079,es, se va a caer lo vamos a tirar  abrazos  no estas sola me too,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100080,es,     jajaja venga ya que hay que tirar de la maquina del tiempo para buscar una noticia de hace casi 4 anos y ese caso es  de 2015 si les la noticia al final dice que gano atencion por el movimiento metoo,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'NO', 'YES', 'NO']"
100081,es,  incel persona que expresa su incapacidad de conseguir relaciones sexuales a pesar de ser su deseo caracterizados por el resentimiento que hay en sus publicaciones los mgtow se supone que es un grupo que sigue la idea del separatismo entre el hombre y la mujer ,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'YES', 'NO', 'YES', 'YES']"
100082,es,  los que hacian verdadero caos no son esos no fueron fotografiados ni detenidos lamentable porque por lo mismo pueden volver,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100083,es,   literalmente toda la discografia de aitana es eso que dices que no existe,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100084,es, no creo en el infierno/paraiso para mi murio impune por la cobardia argentina,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'NO']"
100085,es, si cuando tuve mi fase de masculinidades se escuchaban estos argumentos a cada rato entiendo se sea esceptico de los mgtow pero nomas disidir del feminismo es misogino?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'YES', 'YES', 'NO', 'YES']"
100086,es, es mucho peor los veganos rechazan los productos animales por moral por no hacer un dano a seres que consideran que hay que proteger los mgtow rechazan a las mujeres por resentimiento odio y paranoia,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'YES', 'NO', 'YES', 'YES']"
100087,es,         se llama nicho de mercado,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
100088,es,       los mgtow puteros de manual franquistacortados todos al mismo patron,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'YES', 'NO', 'NO', 'YES', 'NO']"
100089,es, no se que le paso a esta mujer? esta confundida o le pagaron en sobre?,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'YES', 'YES', 'YES', 'YES', 'YES']"
100090,es,  se llama criterio es cuando dejas el pensamiento binario y empiezas a ver los matices,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'NO', 'NO', 'YES']"
100091,es, a milei tambien lo puede llegar a consumir un tincho redpill que no seria un tanque de leche al contrario les va muy bien en cambio moreno parece mas para un publico mgtow,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['NO', 'NO', 'NO', 'YES', 'NO', 'NO']"
100092,es, diria que mas que tocar puntos sensibles hay ciertos problema en la comunidad y varios individuos que hacen ver mal a todos los mgtow aunque tambien es culpa de quienes son ignorantes del tema y piensan que cualquiera con una cuenta recien creada diciendo que son mgtow lo son,6,"['F', 'F', 'F', 'M', 'M', 'M']","['18-22', '23-45', '46+', '46+', '23-45', '18-22']","['YES', 'NO', 'NO', 'YES', 'NO', 'NO']"
